CONTRIBUTOR,NAME,TIME,LAT,LON,DEPTH,MTYPE,MAG,STATIONKEY,STMP
ANF,2007-12-05T19-16-32,2007-12-05T19-16-32,41.8005,-110.6409,10.1296,ML,2.24,StationKey.csv,1196882192.0
ANF,2007-12-19T17-56-18,2007-12-19T17-56-18,41.7205,-110.6486,4.077,ML,2.36,StationKey.csv,1198086978.0
ANF,2007-12-21T18-30-09,2007-12-21T18-30-09,41.7669,-110.6122,8.9715,ML,2.17,StationKey.csv,1198261809.0
ANF,2007-12-28T20-00-14,2007-12-28T20-00-14,41.704,-110.641,0.7,ML,-999.0,StationKey.csv,1198872014.0
ANF,2008-01-08T18-48-09,2008-01-08T18-48-09,41.7231,-110.6232,10.5796,ML,2.03,StationKey.csv,1199818089.0
ANF,2008-01-14T18-02-55,2008-01-14T18-02-55,41.8005,-110.6353,12.0948,ML,2.38,StationKey.csv,1200333775.0
ANF,2008-01-21T20-01-06,2008-01-21T20-01-06,41.8071,-110.6136,5.6228,ML,2.58,StationKey.csv,1200945666.0
ANF,2008-01-22T19-24-54,2008-01-22T19-24-54,41.7221,-110.6176,8.5732,ML,2.74,StationKey.csv,1201029894.0
ANF,2008-02-15T20-00-08,2008-02-15T20-00-08,41.7092,-110.6404,9.4375,ML,2.06,StationKey.csv,1203105608.0
ANF,2008-02-15T20-05-25,2008-02-15T20-05-25,41.722,-110.6438,5.0005,ML,2.32,StationKey.csv,1203105925.0
ANF,2008-02-18T19-04-15,2008-02-18T19-04-15,41.7207,-110.6375,2.5544,ML,2.72,StationKey.csv,1203361455.0
ANF,2008-02-21T17-41-33,2008-02-21T17-41-33,41.7385,-110.6286,1.6012,ML,2.37,StationKey.csv,1203615693.0
ANF,2008-02-25T20-26-24,2008-02-25T20-26-24,41.7645,-110.6609,0.0,ML,2.44,StationKey.csv,1203971184.0
ANF,2008-02-27T18-42-04,2008-02-27T18-42-04,41.7367,-110.6618,0.0,ML,2.44,StationKey.csv,1204137724.0
ANF,2008-03-14T18-18-25,2008-03-14T18-18-25,41.7171,-110.6154,9.6207,ML,2.67,StationKey.csv,1205518705.0
ANF,2008-03-17T17-03-37,2008-03-17T17-03-37,41.7156,-110.5996,0.9692,ML,2.65,StationKey.csv,1205773417.0
ANF,2008-03-24T17-54-19,2008-03-24T17-54-19,41.7268,-110.6584,7.2619,ML,2.01,StationKey.csv,1206381259.0
ANF,2008-03-25T16-35-03,2008-03-25T16-35-03,41.7993,-110.5818,7.5726,ML,1.75,StationKey.csv,1206462903.0
ANF,2008-03-28T20-41-02,2008-03-28T20-41-02,41.6896,-110.6455,7.2846,ML,1.88,StationKey.csv,1206736862.0
ANF,2008-04-04T18-08-51,2008-04-04T18-08-51,41.7077,-110.673,0.0898,ML,2.62,StationKey.csv,1207332531.0
ANF,2008-04-28T16-55-58,2008-04-28T16-55-58,41.7997,-110.639,8.5077,ML,2.39,StationKey.csv,1209401758.0
ANF,2008-05-02T15-04-29,2008-05-02T15-04-29,41.6946,-110.6193,9.0421,ML,1.74,StationKey.csv,1209740669.0
ANF,2008-06-06T19-39-39,2008-06-06T19-39-39,41.7436,-110.6124,7.2227,ML,1.88,StationKey.csv,1212781179.0
ANF,2008-06-19T19-14-39,2008-06-19T19-14-39,41.7503,-110.607,6.887,ML,1.88,StationKey.csv,1213902879.0
ANF,2008-07-01T19-12-48,2008-07-01T19-12-48,41.7482,-110.6257,9.7139,ML,2.16,StationKey.csv,1214939568.0
ANF,2008-07-09T15-52-24,2008-07-09T15-52-24,41.7236,-110.6227,9.5581,ML,2.35,StationKey.csv,1215618744.0
ANF,2008-07-09T17-55-35,2008-07-09T17-55-35,41.767,-110.6124,8.7803,ML,1.89,StationKey.csv,1215626135.0
ANF,2008-07-31T19-44-41,2008-07-31T19-44-41,41.8046,-110.6216,9.7008,ML,1.76,StationKey.csv,1217533481.0
ANF,2008-08-07T15-35-09,2008-08-07T15-35-09,41.7357,-110.6875,5.054,ML,2.15,StationKey.csv,1218123309.0
ANF,2008-08-18T18-02-08,2008-08-18T18-02-08,41.8068,-110.8117,9.2217,ML,2.88,StationKey.csv,1219082528.0
ANF,2008-08-21T17-00-30,2008-08-21T17-00-30,41.7263,-110.6369,9.3482,ML,2.7,StationKey.csv,1219338030.0
ANF,2008-08-25T19-59-12,2008-08-25T19-59-12,41.7419,-110.6389,6.227,ML,2.11,StationKey.csv,1219694352.0
ANF,2008-08-29T18-54-09,2008-08-29T18-54-09,41.7977,-110.612,2.7348,ML,2.23,StationKey.csv,1220036049.0
ANF,2008-09-09T18-27-59,2008-09-09T18-27-59,41.8247,-110.5942,7.0224,ML,1.94,StationKey.csv,1220984879.0
ANF,2008-09-12T19-20-13,2008-09-12T19-20-13,41.7976,-110.607,6.2005,ML,2.43,StationKey.csv,1221247213.0
ANF,2008-09-17T19-46-44,2008-09-17T19-46-44,41.7105,-110.6174,10.7216,ML,2.67,StationKey.csv,1221680804.0
ANF,2008-09-18T16-39-46,2008-09-18T16-39-46,41.7164,-110.6223,3.4592,ML,2.32,StationKey.csv,1221755986.0
ANF,2008-09-24T19-34-29,2008-09-24T19-34-29,41.9013,-110.6119,15.7071,ML,2.33,StationKey.csv,1222284869.0
ANF,2008-09-29T17-19-33,2008-09-29T17-19-33,41.7149,-110.6238,9.9042,ML,2.85,StationKey.csv,1222708773.0
ANF,2008-10-06T15-47-33,2008-10-06T15-47-33,41.8456,-110.5448,9.135,ML,2.04,StationKey.csv,1223308053.0
ANF,2008-10-08T15-29-30,2008-10-08T15-29-30,41.746,-110.6168,6.5551,ML,2.64,StationKey.csv,1223479770.0
ANF,2008-10-09T16-07-08,2008-10-09T16-07-08,41.718,-110.6349,6.2712,ML,2.23,StationKey.csv,1223568428.0
ANF,2008-10-23T15-47-14,2008-10-23T15-47-14,41.803,-110.5888,6.9882,ML,2.05,StationKey.csv,1224776834.0
ANF,2008-10-27T19-58-20,2008-10-27T19-58-20,41.7384,-110.6482,1.9592,ML,2.43,StationKey.csv,1225137500.0
ANF,2008-10-31T16-52-43,2008-10-31T16-52-43,41.8103,-110.6124,7.5454,ML,2.26,StationKey.csv,1225471963.0
ANF,2008-11-06T18-36-58,2008-11-06T18-36-58,41.6966,-110.6179,13.3386,ML,2.39,StationKey.csv,1225996618.0
ANF,2008-11-14T18-39-04,2008-11-14T18-39-04,41.8075,-110.6068,5.8308,ML,2.63,StationKey.csv,1226687944.0
ANF,2008-11-17T20-02-02,2008-11-17T20-02-02,41.8041,-110.6222,5.7571,ML,2.11,StationKey.csv,1226952122.0
ANF,2008-11-19T17-17-01,2008-11-19T17-17-01,41.7461,-110.628,0.3058,ML,2.48,StationKey.csv,1227115021.0
ANF,2008-11-19T20-32-41,2008-11-19T20-32-41,41.7066,-110.6331,9.4058,ML,2.37,StationKey.csv,1227126761.0
ANF,2008-11-26T15-45-58,2008-11-26T15-45-58,41.7335,-110.6512,3.9422,ML,2.12,StationKey.csv,1227714358.0
ANF,2008-12-01T17-59-44,2008-12-01T17-59-44,41.8069,-110.6243,4.2613,ML,2.77,StationKey.csv,1228154384.0
ANF,2008-12-04T20-18-31,2008-12-04T20-18-31,41.7918,-110.586,3.1842,ML,2.23,StationKey.csv,1228421911.0
ANF,2008-12-05T16-50-40,2008-12-05T16-50-40,41.801,-110.6009,8.0185,ML,2.69,StationKey.csv,1228495840.0
ANF,2008-12-11T17-42-50,2008-12-11T17-42-50,41.7336,-110.6516,0.939,ML,2.4,StationKey.csv,1229017370.0
ANF,2008-12-12T20-09-31,2008-12-12T20-09-31,41.8009,-110.6108,10.2222,ML,2.81,StationKey.csv,1229112571.0
ANF,2008-12-16T18-03-50,2008-12-16T18-03-50,41.7892,-110.6143,8.9014,ML,2.42,StationKey.csv,1229450630.0
ANF,2008-12-18T17-22-30,2008-12-18T17-22-30,41.8086,-110.5927,6.6662,ML,2.18,StationKey.csv,1229620950.0
ANF,2009-01-12T19-47-33,2009-01-12T19-47-33,41.7972,-110.6091,8.5133,ML,2.35,StationKey.csv,1231789653.0
ANF,2009-01-14T18-33-40,2009-01-14T18-33-40,41.8028,-110.5957,8.2402,ML,2.44,StationKey.csv,1231958020.0
ANF,2009-01-15T17-08-50,2009-01-15T17-08-50,41.704,-110.6172,10.0731,ML,1.91,StationKey.csv,1232039330.0
ANF,2009-01-16T18-17-56,2009-01-16T18-17-56,41.809,-110.594,9.1014,ML,2.68,StationKey.csv,1232129876.0
ANF,2009-01-22T20-42-17,2009-01-22T20-42-17,41.68,-110.6103,7.9943,ML,2.14,StationKey.csv,1232656937.0
ANF,2009-01-23T20-47-06,2009-01-23T20-47-06,41.8063,-110.607,11.4426,ML,2.53,StationKey.csv,1232743626.0
ANF,2009-01-26T21-11-20,2009-01-26T21-11-20,41.704,-110.613,0.0,ML,2.0,StationKey.csv,1233004280.0
ANF,2009-01-29T18-02-07,2009-01-29T18-02-07,41.6945,-110.6229,8.759,ML,2.56,StationKey.csv,1233252127.0
ANF,2009-02-19T21-31-23,2009-02-19T21-31-23,41.6895,-110.6126,2.8189,ML,2.27,StationKey.csv,1235079083.0
ANF,2009-02-24T16-57-59,2009-02-24T16-57-59,41.7174,-110.6263,7.8097,ML,2.21,StationKey.csv,1235494679.0
ANF,2009-02-24T17-01-31,2009-02-24T17-01-31,41.7094,-110.6297,7.849,ML,2.25,StationKey.csv,1235494891.0
ANF,2009-03-13T17-39-47,2009-03-13T17-39-47,41.8099,-110.6039,1.2602,ML,2.49,StationKey.csv,1236965987.0
ANF,2009-03-19T19-06-07,2009-03-19T19-06-07,41.8112,-110.6174,8.1892,ML,2.78,StationKey.csv,1237489567.0
ANF,2009-03-26T15-17-45,2009-03-26T15-17-45,41.8074,-110.6067,8.5654,ML,2.29,StationKey.csv,1238080665.0
ANF,2009-04-01T17-36-58,2009-04-01T17-36-58,41.6824,-110.6313,2.0984,ML,2.52,StationKey.csv,1238607418.0
ANF,2009-04-03T15-39-27,2009-04-03T15-39-27,41.814,-110.6435,1.8643,ML,2.34,StationKey.csv,1238773167.0
ANF,2009-04-06T18-53-12,2009-04-06T18-53-12,41.8021,-110.6321,1.9012,ML,2.4,StationKey.csv,1239043992.0
ANF,2009-04-10T19-27-22,2009-04-10T19-27-22,41.7018,-110.6252,8.7868,ML,2.27,StationKey.csv,1239391642.0
ANF,2009-04-13T17-28-07,2009-04-13T17-28-07,41.721,-110.687,0.0,ML,-999.0,StationKey.csv,1239643687.0
ANF,2009-04-14T16-56-38,2009-04-14T16-56-38,41.7042,-110.6316,9.0247,ML,2.58,StationKey.csv,1239728198.0
ANF,2009-04-16T18-23-21,2009-04-16T18-23-21,41.6856,-110.6516,7.9347,ML,2.57,StationKey.csv,1239906201.0
ANF,2009-04-17T18-35-23,2009-04-17T18-35-23,41.7977,-110.6184,8.8985,ML,2.5,StationKey.csv,1239993323.0
ANF,2009-04-20T17-53-38,2009-04-20T17-53-38,41.6998,-110.6275,3.0152,ML,2.51,StationKey.csv,1240250018.0
,d2009-04-01T20-25-45,2009-04-01T20-25-49.866341,,,,,2.26576968898,,1238617549.87
,d2009-04-02T16-27-05,2009-04-02T16-27-10.341339,,,,,2.24481455115,,1238689630.34
,d2009-04-02T19-16-52,2009-04-02T19-16-56.917279,,,,,2.05933478233,,1238699816.92
,d2009-04-03T17-34-28,2009-04-03T17-34-33.488442,,,,,1.89212331203,,1238780073.49
